kedeputian;direktorat;belanja;anggaran
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Pakan;Belanja Barang Non Operasional;94782010
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Pakan;Belanja Modal Non Operasional;1489710
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Kesehatan Hewan;Belanja Barang Non Operasional;266891068
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Kesehatan Hewan;Belanja Modal Non Operasional;55099972
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Perbibitan dan Produksi Peternakan;Belanja Barang Non Operasional;1321275949
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Perbibitan dan Produksi Peternakan;Belanja Modal Non Operasional;31458048
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Kesehatan Masyarakat Veteriner;Belanja Barang Non Operasional;48425317
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Kesehatan Masyarakat Veteriner;Belanja Modal Non Operasional;573833
Ditjen Peternakan dan Kesehatan Hewan;Sekretariat Direktorat Jenderal;Belanja Pegawai;146267500
Ditjen Peternakan dan Kesehatan Hewan;Sekretariat Direktorat Jenderal;Belanja Barang Operasional;68502280
Ditjen Peternakan dan Kesehatan Hewan;Sekretariat Direktorat Jenderal;Belanja Barang Non Operasional;35666534
Ditjen Peternakan dan Kesehatan Hewan;Sekretariat Direktorat Jenderal;Belanja Modal Non Operasional;2792400
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Pengolahan dan Pemasaran Hasil Peternakan;Belanja Barang Non Operasional;13753870
Ditjen Peternakan dan Kesehatan Hewan;Direktorat Pengolahan dan Pemasaran Hasil Peternakan;Belanja Modal Non Operasional;45000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Irigasi Pertanian;Belanja Barang Non Operasional;393889225
Ditjen Prasarana dan Sarana Pertanian;Direktorat Perluasan dan Perlindungan Lahan Pertanian;Belanja Barang Non Operasional;593570408
Ditjen Prasarana dan Sarana Pertanian;Direktorat Perluasan dan Perlindungan Lahan Pertanian;Belanja Modal Non Operasional;1001958
Ditjen Prasarana dan Sarana Pertanian;Direktorat Alat dan Mesin Pertanian;Belanja Barang Non Operasional;3676938437
Ditjen Prasarana dan Sarana Pertanian;Sekretariat Direktorat Jenderal;Belanja Pegawai;32094501
Ditjen Prasarana dan Sarana Pertanian;Sekretariat Direktorat Jenderal;Belanja Barang Operasional;16393200
Ditjen Prasarana dan Sarana Pertanian;Sekretariat Direktorat Jenderal;Belanja Barang Non Operasional;801807270
Ditjen Prasarana dan Sarana Pertanian;Sekretariat Direktorat Jenderal;Belanja Modal Non Operasional;5341800
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Barang Non Operasional;84657850
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pembiayaan Pertanian;Belanja Barang Non Operasional;425134100
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian Bioteknologi dan Sumber Daya Genetik Pertanian;Belanja Pegawai;15829047
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian Bioteknologi dan Sumber Daya Genetik Pertanian;Belanja Barang Operasional;4655600
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian Bioteknologi dan Sumber Daya Genetik Pertanian;Belanja Barang Non Operasional;9964000
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian Bioteknologi dan Sumber Daya Genetik Pertanian;Belanja Modal Non Operasional;4433501
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian dan Pengembangan Pasca Panen Pertanian;Belanja Pegawai;11108654
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian dan Pengembangan Pasca Panen Pertanian;Belanja Barang Operasional;5350850
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian dan Pengembangan Pasca Panen Pertanian;Belanja Barang Non Operasional;14458221
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian dan Pengembangan Pasca Panen Pertanian;Belanja Modal Non Operasional;3780000
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian dan Pengembangan Sumber Daya Lahan Pertanian;Belanja Pegawai;35393674
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian dan Pengembangan Sumber Daya Lahan Pertanian;Belanja Barang Operasional;13220050
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian dan Pengembangan Sumber Daya Lahan Pertanian;Belanja Barang Non Operasional;52338620
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Penelitian dan Pengembangan Sumber Daya Lahan Pertanian;Belanja Modal Non Operasional;17849281
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Pengkajian dan Pengembangan Teknologi Pertanian;Belanja Pegawai;236635414
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Pengkajian dan Pengembangan Teknologi Pertanian;Belanja Barang Operasional;58775302
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Pengkajian dan Pengembangan Teknologi Pertanian;Belanja Barang Non Operasional;322855107
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Pengkajian dan Pengembangan Teknologi Pertanian;Belanja Modal Non Operasional;110196594
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Pengembangan Mekanisasi Pertanian;Belanja Pegawai;12045125
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Pengembangan Mekanisasi Pertanian;Belanja Barang Operasional;3702850
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Pengembangan Mekanisasi Pertanian;Belanja Barang Non Operasional;24013765
Badan Penelitian dan Pengembangan Pertanian;Balai Besar Pengembangan Mekanisasi Pertanian;Belanja Modal Non Operasional;20664235
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Hortikultura;Belanja Pegawai;45378839
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Hortikultura;Belanja Barang Operasional;17242200
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Hortikultura;Belanja Barang Non Operasional;88545856
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Hortikultura;Belanja Modal Non Operasional;38577877
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Perkebunan;Belanja Pegawai;56345953
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Perkebunan;Belanja Barang Operasional;15862000
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Perkebunan;Belanja Barang Non Operasional;68906622
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Perkebunan;Belanja Modal Non Operasional;59009189
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Peternakan;Belanja Pegawai;44929159
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Peternakan;Belanja Barang Operasional;18400950
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Peternakan;Belanja Barang Non Operasional;45672097
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Peternakan;Belanja Modal Non Operasional;52945423
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Pangan;Belanja Pegawai;58362000
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Pangan;Belanja Barang Operasional;19173450
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Pangan;Belanja Barang Non Operasional;125382839
Badan Penelitian dan Pengembangan Pertanian;Pusat Penelitian dan Pengembangan Tanaman Pangan;Belanja Modal Non Operasional;36068055
Badan Penelitian dan Pengembangan Pertanian;Sekretariat Badan;Belanja Pegawai;12972135
Badan Penelitian dan Pengembangan Pertanian;Sekretariat Badan;Belanja Barang Operasional;21982748
Badan Penelitian dan Pengembangan Pertanian;Sekretariat Badan;Belanja Barang Non Operasional;272903598
Badan Penelitian dan Pengembangan Pertanian;Sekretariat Badan;Belanja Modal Non Operasional;8630000
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pelatihan Pertanian;Belanja Pegawai;63057840
